gene,logP
ENSG00000009830,0.4
ENSG00000009844,-0.2
ENSG00000009950,0.9
ENSG00000009954,-0.2
ENSG00000010017,5.4
ENSG00000010030,-1.3
ENSG00000010072,-0.2
ENSG00000010165,-0.1
ENSG00000010219,-1.1
ENSG00000010244,0.4
ENSG00000010256,4.6
ENSG00000010270,0.1
ENSG00000010278,2.2
ENSG00000010282,NA
ENSG00000010292,0.1
ENSG00000010295,-0.1
ENSG00000010310,-1.9
ENSG00000010318,0
ENSG00000010319,0
ENSG00000010322,-1.6
ENSG00000010327,0.1
ENSG00000010361,0.3
ENSG00000010379,-0.1
ENSG00000010404,0.6
ENSG00000010438,0
ENSG00000010539,-0.4
ENSG00000010610,-0.1
ENSG00000010626,-0.9
ENSG00000010671,0
ENSG00000010704,-0.4
ENSG00000010803,0
ENSG00000010810,0.1
ENSG00000010818,-2.4
ENSG00000010932,0.2
ENSG00000011007,1.1
ENSG00000011009,1.4
ENSG00000011021,0.3
ENSG00000011028,-1.3
ENSG00000011052,NA
ENSG00000011083,-0.1
ENSG00000011105,0.9
ENSG00000011114,0.3
ENSG00000011132,0.4
ENSG00000011143,-0.9
ENSG00000011198,7.2
ENSG00000011201,-0.1
ENSG00000011243,-0.9
ENSG00000011258,-1.5
ENSG00000011260,0.9
ENSG00000011275,0.1
ENSG00000011295,0.6
ENSG00000011304,2.4
ENSG00000011332,0.1
ENSG00000011347,-4.3
ENSG00000011376,0.1
ENSG00000011405,1.7
ENSG00000011422,0.1
ENSG00000011426,0
ENSG00000011451,0.3
ENSG00000011454,2.3
ENSG00000011465,-0.2
ENSG00000011478,4.6
ENSG00000011485,6.2
ENSG00000011523,0.6
ENSG00000011566,5.4
ENSG00000011590,0.1
ENSG00000011600,0
ENSG00000011638,0.3
ENSG00000011677,0.1
ENSG00000012048,-10
ENSG00000012061,0
ENSG00000012124,0.2
ENSG00000012171,-4.1
ENSG00000012174,0.7
ENSG00000012211,0.5
ENSG00000012223,0.1
ENSG00000012232,0.4
ENSG00000012504,0.1
ENSG00000012660,2.1
ENSG00000012779,0.2
ENSG00000012817,0
ENSG00000012822,2.4
ENSG00000012963,-0.3
ENSG00000012983,-0.4
ENSG00000013016,1.3
ENSG00000013275,0.6
ENSG00000013288,0.2
ENSG00000013293,-10
ENSG00000013297,-9.8
ENSG00000013306,0
ENSG00000013364,0.6
ENSG00000013374,0.8
ENSG00000013375,-1.2
ENSG00000013392,-0.9
ENSG00000013441,1.2
ENSG00000013503,0.3
ENSG00000013523,-2.2
ENSG00000013561,2.3
ENSG00000013563,0
ENSG00000013573,-1.2
ENSG00000013583,2.3
ENSG00000013588,-0.3
ENSG00000013619,2.1
ENSG00000013725,NA
ENSG00000013810,0.2
ENSG00000014123,-0.5
ENSG00000014138,-0.7
ENSG00000014164,0
ENSG00000014216,2.9
ENSG00000014257,-0.7
ENSG00000014641,-0.3
ENSG00000014824,0.5
ENSG00000014914,-1.4
ENSG00000014919,-0.4
ENSG00000015133,0.4
ENSG00000015153,1.8
ENSG00000015171,-0.1
ENSG00000015285,-1.1
ENSG00000015413,1.8
ENSG00000015475,0
ENSG00000015479,-1.3
ENSG00000015520,-3.5
ENSG00000015532,0.2
ENSG00000015568,-0.8
ENSG00000015592,0.6
ENSG00000015676,0.1
ENSG00000016082,NA
ENSG00000016391,-5.2
ENSG00000016402,-0.7
ENSG00000016490,0
ENSG00000016602,-0.1
ENSG00000016864,0.2
ENSG00000017260,-0.7
ENSG00000017373,0.3
ENSG00000017427,-0.4
ENSG00000017483,-3.5
ENSG00000017621,-0.3
ENSG00000017797,7.4
ENSG00000018189,-2.4
ENSG00000018236,0.9
ENSG00000018280,0
ENSG00000018408,0.4
ENSG00000018510,0.8
ENSG00000018607,-0.1
ENSG00000018610,-0.5
ENSG00000018625,-0.4
ENSG00000018699,0
ENSG00000018869,-0.1
ENSG00000019102,0.2
ENSG00000019144,2.2
ENSG00000019169,0.2
ENSG00000019186,-4.6
ENSG00000019485,1.3
ENSG00000019505,NA
ENSG00000019549,0.2
ENSG00000019582,-0.6
ENSG00000019991,-4.9
ENSG00000019995,10
ENSG00000020129,-2.9
ENSG00000020181,-1.5
ENSG00000020219,-0.1
ENSG00000020256,-1.2
ENSG00000020426,0.1
ENSG00000020577,10
ENSG00000020633,0.1
ENSG00000020922,0.2
ENSG00000021300,-0.5
ENSG00000021355,8.3
ENSG00000021461,0.1
ENSG00000021488,0
ENSG00000021574,0.2
ENSG00000021645,2.5
ENSG00000021762,1.8
ENSG00000021776,1.8
ENSG00000021826,-0.9
ENSG00000021852,NA
ENSG00000022267,2.4
ENSG00000022277,0.5
ENSG00000022355,NA
ENSG00000022556,0
ENSG00000022567,1.1
ENSG00000022840,3.1
ENSG00000022976,-0.6
ENSG00000023041,1.7
ENSG00000023171,-0.9
ENSG00000023191,0.4
ENSG00000023228,0.8
ENSG00000023287,0.5
ENSG00000023318,2
ENSG00000023330,-1
ENSG00000023445,0.9
ENSG00000023516,-0.2
ENSG00000023572,0.7
ENSG00000023608,3
ENSG00000023697,2.6
ENSG00000023734,1.6
ENSG00000023839,0.3
ENSG00000023892,-0.2
ENSG00000023902,2
ENSG00000023909,9.2
ENSG00000024048,0.8
ENSG00000024422,0.9
ENSG00000024526,-0.3
ENSG00000024862,0.4
ENSG00000025039,0.6
ENSG00000025156,-1.2
ENSG00000025293,-0.6
ENSG00000025423,-4.8
ENSG00000025434,0.5
ENSG00000025708,4.4
ENSG00000025770,-0.2
ENSG00000025772,-1.6
ENSG00000025796,-0.1
ENSG00000025800,0.8
ENSG00000026025,-1.5
ENSG00000026036,-0.5
ENSG00000026103,-0.1
ENSG00000026297,-2
ENSG00000026508,-0.5
ENSG00000026559,-0.6
ENSG00000026652,-0.4
ENSG00000026751,0.1
ENSG00000026950,-9.5
ENSG00000027001,-1.5
ENSG00000027075,1.7
ENSG00000027644,-0.5
ENSG00000027697,2.5
ENSG00000027847,-0.4
ENSG00000027869,-0.1
ENSG00000028116,0.7
ENSG00000028137,3.8
ENSG00000028203,0
ENSG00000028277,-4
ENSG00000028310,0.1
ENSG00000028528,-0.5
ENSG00000028839,-1.8
ENSG00000029153,-0.1
ENSG00000029363,-0.2
ENSG00000029364,-0.6
ENSG00000029534,-0.2
ENSG00000029559,-0.3
ENSG00000029639,0
ENSG00000029725,0
ENSG00000029993,-1.6
ENSG00000030066,0.2
ENSG00000030110,0.5
ENSG00000030304,0.1
ENSG00000030419,1
ENSG00000030582,-0.8
ENSG00000031003,0.1
ENSG00000031081,-2.7
ENSG00000031544,0
ENSG00000031691,0.1
ENSG00000031698,-7.8
ENSG00000031823,-3.1
ENSG00000032219,0
ENSG00000032389,0.1
ENSG00000032444,1.1
ENSG00000032742,-5.1
ENSG00000033011,0.2
ENSG00000033030,0.5
ENSG00000033050,1.6
ENSG00000033100,0.2
ENSG00000033122,-0.3
ENSG00000033170,-1.1
ENSG00000033178,-1.4
ENSG00000033327,2.5
ENSG00000033627,1.8
ENSG00000033800,-0.2
ENSG00000033867,-8.8
ENSG00000034053,0
ENSG00000034063,-0.9
ENSG00000034152,4
ENSG00000034239,-0.1
ENSG00000034510,-0.4
ENSG00000034533,-3.3
ENSG00000034677,0.7
ENSG00000034693,-1.8
ENSG00000034713,4.5
ENSG00000034971,0
ENSG00000035115,-4.3
ENSG00000035141,0.8
ENSG00000035403,4.7
ENSG00000035499,-0.8
ENSG00000035664,3.4
ENSG00000035681,-3.7
ENSG00000035687,-0.6
ENSG00000035720,NA
ENSG00000035862,0.6
ENSG00000035928,-0.8
ENSG00000036054,1.1
ENSG00000036257,0
ENSG00000036448,-0.3
ENSG00000036473,-0.1
ENSG00000036530,-0.7
ENSG00000036549,-0.1
ENSG00000036565,NA
ENSG00000036672,0.6
ENSG00000036828,NA
ENSG00000037042,-0.7
ENSG00000037241,1.6
ENSG00000037280,0.3
ENSG00000037474,0.4
ENSG00000037637,2.5
ENSG00000037749,1.9
ENSG00000037757,0.1
ENSG00000037897,-0.3
ENSG00000037965,-0.1
ENSG00000038002,-0.6
ENSG00000038210,0
ENSG00000038219,-0.3
ENSG00000038274,4.3
ENSG00000038295,-0.4
ENSG00000038358,0.5
ENSG00000038382,-0.8
ENSG00000038427,-1.7
ENSG00000038532,-0.9
ENSG00000038945,-0.7
ENSG00000039068,0.2
ENSG00000039123,-0.1
ENSG00000039139,-0.2
ENSG00000039319,-0.5
ENSG00000039523,0.9
ENSG00000039537,1.5
ENSG00000039560,2.4
ENSG00000039600,0.2
ENSG00000039650,-0.9
ENSG00000039987,0.7
ENSG00000040199,1.2
ENSG00000040275,-0.5
ENSG00000040341,-0.3
ENSG00000040487,1.5
ENSG00000040531,0
ENSG00000040608,-0.6
ENSG00000040633,-0.8
ENSG00000040731,-2.1
ENSG00000040933,0
ENSG00000041353,NA
ENSG00000041357,-0.1
ENSG00000041515,3.1
ENSG00000041802,0.9
ENSG00000041880,-0.1
ENSG00000041982,-0.8
ENSG00000041988,-0.4
ENSG00000042062,0.2
ENSG00000042088,-2.2
ENSG00000042286,10
ENSG00000042304,0
ENSG00000042317,-1.8
ENSG00000042429,1
ENSG00000042445,-0.1
ENSG00000042493,0
ENSG00000042753,1.7
ENSG00000042781,-0.3
ENSG00000042813,NA
ENSG00000042832,0.2
ENSG00000042980,0.6
ENSG00000043039,NA
ENSG00000043093,0.6
ENSG00000043143,2.8
ENSG00000043355,NA
ENSG00000043462,NA
ENSG00000043514,-0.1
ENSG00000043591,NA
ENSG00000044012,NA
ENSG00000044090,-6.6
ENSG00000044115,0.6
ENSG00000044446,1.7
ENSG00000044459,-0.9
ENSG00000044524,0.1
ENSG00000044574,0.1
ENSG00000046604,-0.2
ENSG00000046647,0.1
ENSG00000046651,0.1
ENSG00000046653,3
ENSG00000046774,-0.1
ENSG00000046889,-0.7
ENSG00000047056,1.7
ENSG00000047188,1
ENSG00000047230,0
ENSG00000047249,0.2
ENSG00000047315,-0.1
ENSG00000047346,-0.1
ENSG00000047365,-0.3
ENSG00000047410,-0.1
ENSG00000047457,0.6
ENSG00000047578,-0.3
ENSG00000047579,0.1
ENSG00000047597,0.3
ENSG00000047617,0.4
ENSG00000047621,-1.6
ENSG00000047634,0.9
ENSG00000047644,1.6
ENSG00000047648,0.1
ENSG00000047662,0.2
ENSG00000047849,0.9
ENSG00000047932,-1.9
ENSG00000047936,0
ENSG00000048028,0.1
